municipio,actividad_principal,codigo_ciiu,cargo_del_solicitante,clasificación_de_la_empresa,sector_económico
itagui,alojamiento en hoteles.,i.55.551.5511,director de talento humano,pequeña,"comercio, hoteles y restaurantes"
medellin,elaboración de productos de panadería.,c.10.108.1081,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por mayor de prendas de vestir.,g.46.464.4642,analista contable,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por mayor de productos alimenticios.,g.46.463.4631,admiistrador,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones.",g.46.465.4652,vendedora auxiliar,pequeña,"comercio, hoteles y restaurantes"
medellin,actividades de otras asociaciones n.c.p.,s.94.949.9499,administrador,pequeña,exequiales
medellin,enseñanza deportiva y recreativa.,p.85.855.8552,representante legal,pequeña,enseñanza
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,acabado de productos textiles.,c.13.131.1313,gestión humana,mediana,industria manufacturera
medellin,comercio al por menor de otros productos nuevos en establecimientos especializados.,g.47.477.4774,directora comercial,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,talento humano,grande,industria manufacturera
medellin,comercio al por menor de otros productos nuevos en establecimientos especializados.,g.47.477.4774,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,propietaria,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,administradora,pequeña,"comercio, hoteles y restaurantes"
copacabana,industrias manufactureras,c.,gerente,pequeña,industria manufacturera
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,gestión humana,pequeña,construccion
medellin,comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.,g.47.477.4772,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.,g.47.477.4772,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,mantenimiento y reparación especializado de productos elaborados en metal y de maquinaria y equipo.,c.33.331.,auxiliar de gestión humana,pequeña,construccion
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,gerente,pequeña,industria manufacturera
medellin,"actividades de las agencias de viajes, operadores turísticos, servicios de reserva y actividades relacionadas.",n.79.,gestión huamana,mediana,"comercio, hoteles y restaurantes"
medellin,fabricación de maquinaria y equipo de uso general.,c.28.281.,auxiliar administrativa,pequeña,industria manufacturera
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,representante legal,pequeña,transporte y almacenamiento
bello,comercio al por mayor de calzado.,g.46.464.4643,auxiliar,pequeña,industria manufacturera
medellin,otras industrias manufactureras n.c.p.,c.32.329.,gerente,pequeña,industria manufacturera
medellin,"fabricación de otros tipos de calzado, excepto calzado de cuero y de piel",c.15.152.1522,asesor de ventas,pequeña,industria manufacturera
envigado,"curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles.",c.15.,gerente,pequeña,industria manufacturera
medellin,"fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción.",c.16.163.,auxiliar administrativa,pequeña,construccion
medellin,industrias manufactureras,c.,auxiliar administrativa,pequeña,industria manufacturera
medellin,comercio al por menor de otros productos nuevos en establecimientos especializados.,g.47.477.4774,asesor de gerencia,pequeña,"comercio, hoteles y restaurantes"
medellin,otras actividades de servicios,s.,abogada y psicóloga,pequeña,juridica
medellin,"comercio al por mayor de alimentos, bebidas y tabaco.",g.46.463.,administrador,no dato,"comercio, hoteles y restaurantes"
copacabana,actividades de saneamiento ambiental y otros servicios de gestión de desechos.,e.39..,coordinadora administrativa,pequeña,"servicios comunales, sociales y personales"
medellin,elaboración de productos alimenticios.,c.10.,gestión humana,mediana,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados.",g.47.476.4761,gestión humana,mediana,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,gerente,mediana,"comercio, hoteles y restaurantes"
medellin,"otras actividades profesionales, científicas y técnicas.",m.74.,gestión humana,mediana,consultori
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,gestión humana,mediana,"comercio, hoteles y restaurantes"
medellin,otras actividades de servicio de información.,j.63.639.,gestión humana,mediana,"servicios comunales, sociales y personales"
medellin,actividades de servicios de sistemas de seguridad.,n.80.802.,gestión humana,mediana,electrica
medellin,actividades inmobiliarias,l.,gestión humana,mediana,actividades inmobiliarias
medellin,actividades de arquitectura e ingeniería; ensayos y análisis técnicos.,m.71.,gestión humana,mediana,construccion
medellin,mantenimiento y reparación especializado de productos elaborados en metal y de maquinaria y equipo.,c.33.331.,gestión humana,mediana,transporte y almacenamiento
medellin,organización de convenciones y eventos comerciales.,n.82.823.,gestión humana,mediana,"servicios comunales, sociales y personales"
medellin,"actividades de la práctica médica, sin internación.",q.86.862.8621,gestión humana,mediana,"servicios comunales, sociales y personales"
medellin,actividades de otras asociaciones.,s.94.949.,gestión humana,mediana,asociacion
medellin,"comercio al por menor de alimentos (víveres en general), bebidas y tabaco, en establecimientos especializados.",g.47.472.,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados.",g.47.477.4773,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,"actividades de estaciones, vías y servicios complementarios para el transporte terrestre.",h.52.522.5221,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por mayor de productos alimenticios.,g.46.463.4631,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de otros artículos domésticos en establecimientos especializados.,g.47.475.4759,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,actividades de apoyo terapéutico.,q.86.869.8692,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.",g.47.472.4729,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados.",g.47.472.4723,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,"fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería.",c.15.151.1512,representante legal,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados.",g.47.474.4741,gestión humana,pequeña,comunicaciones
medellin,otras actividades de tecnologías de información y actividades de servicios informáticos.,j.62.620.6209,gerente,pequeña,t.i.c´s
medellin,servicio por horas.,i.55.553.,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,elaboración de productos alimenticios.,c.10.,recursos humanos,pequeña,"comercio, hoteles y restaurantes"
envigado,expendio de comidas preparadas en cafeterías.,i.56.561.5613,empresario,pequeña,restaurant
itagui,actividades financieras de fondos de empleados y otras formas asociativas del sector solidario.,k.64.649.6492,auditor,pequeña,"servicios comunales, sociales y personales"
medellin,"comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores.",g.47.473.4732,empresario,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.",g.47.472.4729,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados.",g.47.477.4773,administrador,pequeña,otro
medellin,otros tipos de expendio de comidas preparadas n.c.p.,i.56.561.5619,operativa,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados.",g.47.477.4773,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,empresario,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,administradora,pequeña,"servicios comunales, sociales y personales"
medellin,actividades inmobiliarias,l.,asistente administrativo,pequeña,actividades inmobiliarias
medellin,expendio de comidas preparadas en cafeterías.,i.56.561.5613,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados.",g.47.477.4773,administrador,pequeña,farmaceuti
medellin,"comercio al por menor de equipos de informática y de comunicaciones, en establecimientos especializados.",g.47.474.,estratega digital,pequeña,comunicaciones
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de artículos deportivos, en establecimientos especializados.",g.47.476.4762,administrador,pequeña,deportes
medellin,"confección de prendas de vestir, excepto prendas de piel.",c.14.141.,jefe de producción,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados.",g.47.475.4752,administradora,pequeña,fereteria
medellin,"comercio al por mayor de alimentos, bebidas y tabaco.",g.46.463.,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,elaboración de productos alimenticios.,c.10.,panadero,pequeña,"comercio, hoteles y restaurantes"
medellin,"confección de prendas de vestir, excepto prendas de piel.",c.14.141.,gerente,pequeña,industria manufacturera
medellin,"mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas.",c.33.331.3315,administrador,pequeña,transporte y almacenamiento
medellin,fabricación de muebles.,c.31.311,gerente,pequeña,actividades inmobiliarias
medellin,"comercio al por menor de artículos deportivos, en establecimientos especializados.",g.47.476.4762,administrador,pequeña,deportes
medellin,"comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados.",g.47.477.4773,administradora,pequeña,farmacia
medellin,elaboración de productos alimenticios.,c.10.,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,"mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas.",c.33.331.3315,administrador,pequeña,transporte y almacenamiento
medellin,elaboración de productos alimenticios.,c.10.,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de equipos de informática y de comunicaciones, en establecimientos especializados.",g.47.474.,jefe de producción,pequeña,comunicaciones
medellin,"confección de prendas de vestir, excepto prendas de piel.",c.14.141.,administrador,pequeña,industria manufacturera
medellin,"fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario).",c.32.325.,gerente,pequeña,salud
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,profesional en mercadeo,mediana,transporte y almacenamiento
medellin,"comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador.",g.46.464.4645,administrador,pequeña,salud
medellin,actividades de la práctica odontológica.,q.86.862.8622,gerente,pequeña,salud
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,contadora,pequeña,transporte y almacenamiento
medellin,fabricación de muebles.,c.31.311.3110,representate legal,pequeña,industria manufacturera
medellin,"generación, transmisión, distribución y comercialización de energía eléctrica.",d.35.351.,gerente,pequeña,electricidad/gas-suministro
medellin,"comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador.",g.46.464.4645,administrador,pequeña,industria manufacturera
medellin,"comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción.",g.46.466.4663,auxiliar contable,pequeña,pinturas
medellin,elaboración de productos alimenticios.,c.10.,administrador,pequeña,"comercio, hoteles y restaurantes"
bello,fabricación de productos textiles.,c.13.,gerente,pequeña,industria manufacturera
medellin,comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.,g.47.477.4772,gerente,pequeña,industria manufacturera
medellin,confección de prendas de vestir.,c.14.,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,administradora,pequeña,transporte y almacenamiento
medellin,otras actividades de telecomunicaciones.,j.61.619.,gerente,pequeña,comunicaciones
medellin,fabricación de tapetes y alfombras para pisos.,c.13.139.1393,administrador,pequeña,industria manufacturera
medellin,"comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados.",g.47.476.4761,gerente,pequeña,comunicaciones
medellin,fabricación de productos de caucho y de plástico.,c.22.,auxiliar administrativa,pequeña,industria manufacturera
medellin,fabricación de productos textiles.,c.13.,gerente,pequeña,industria manufacturera
medellin,otras actividades de telecomunicaciones.,j.61.619.,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.",g.47.472.4729,vendedora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,vendedora,pequeña,"comercio, hoteles y restaurantes"
medellin,elaboración de productos de panadería.,c.10.108.1081,vendedora,pequeña,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,jefe,pequeña,"comercio, hoteles y restaurantes"
medellin,"actividades de la práctica médica, sin internación.",q.86.862.8621,medico,pequeña,"servicios comunales, sociales y personales"
medellin,preparación del terreno.,f.43.431.4312,administradora,mediana,"comercio, hoteles y restaurantes"
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,administradores,pequeña,"comercio, hoteles y restaurantes"
medellin,otras actividades de servicios,s.,gerente,no dato,lavado
medellin,comercio al por menor de otros productos en establecimientos especializados.,g.47.477.,gestor equipos de alto rendimiento,grande,"comercio, hoteles y restaurantes"
medellin,fabricación de productos textiles.,c.13.,gerente administrativa,mediana,industria manufacturera
medellin,actividades de consultaría de gestión.,m.70.702.,administradora,pequeña,consultori
medellin,"comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco.",g.47.471.4719,representante legal,pequeña,"comercio, hoteles y restaurantes"
copacabana,fabricación de máquinas formadoras de metal y de máquinas herramienta.,c.28.282.2822,director de proyectos,pequeña,industria manufacturera
bello,"comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción.",g.46.466.4663,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,publicidad.,m.73.731.,gerente,pequeña,comunicaciones
medellin,actividades de seguridad privada.,n.80.801.,control trafico y monitoreo,pequeña,seguridad
medellin,actividades inmobiliarias realizadas con bienes propios o arrendados.,l.68.681.,administradora,pequeña,actividades inmobiliarias
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,representante legal,pequeña,"comercio, hoteles y restaurantes"
medellin,construcción de edificios residenciales.,f.41.411.4111,coordinadora administrativa,pequeña,construccion
medellin,alojamiento en hoteles.,i.55.551.5511,contabilidad,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de otros productos en establecimientos especializados.,g.47.477.,administradora,mediana,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,administradora,mediana,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados.",g.47.474.4741,auxiliar de gestion humana,mediana,"comercio, hoteles y restaurantes"
medellin,otras actividades de servicio de apoyo a las empresas n.c.p.,n.82.829.8299,gerente,pequeña,transporte y almacenamiento
medellin,"comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados.",g.47.475.4752,coordinadora de nomina y contratacion,grande,construccion
medellin,otras industrias manufactureras.,c.32.,asistente de gerencia y compras,mediana,industria manufacturera
medellin,fabricación de colchones y somieres.,c.31.312.,gerente comercial,pequeña,industria manufacturera
medellin,otras industrias manufactureras.,c.32.,administradora,pequeña,industria manufacturera
medellin,"confección de artículos con materiales textiles, excepto prendas de vestir.",c.13.139.1392,jefe de personal,pequeña,industria manufacturera
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,analista de talento humano,grande,construccion
medellin,actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica.,m.71.711.,administrador,pequeña,construccion
medellin,"comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco.",g.47.471.4711,propietario,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco.",g.47.471.4711,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,alojamiento rural.,i.55.551.5514,coordinador comercial,pequeña,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados.",g.47.472.4723,propietario,pequeña,"comercio, hoteles y restaurantes"
medellin,actividades de operadores turísticos.,n.79.791.7912,subdirector,mediana,"comercio, hoteles y restaurantes"
medellin,"confección de prendas de vestir, excepto prendas de piel.",c.14.141.,recursos humanos,pequeña,industria manufacturera
medellin,otras industrias manufactureras.,c.32.,gerente,pequeña,industria manufacturera
medellin,otras industrias manufactureras.,c.32.,auxiliar de talento humano,pequeña,industria manufacturera
medellin,"agricultura, ganadería, caza, silvicultura y pesca",a.,administrador,pequeña,"agricultura, caza, ganaderia, pesca y silvicultura"
medellin,"comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados.",g.47.475.4752,administradora,pequeña,construccion
medellin,fabricación de productos de caucho y de plástico.,c.22.,administrador,pequeña,industria manufacturera
medellin,actividades de la práctica odontológica.,q.86.862.8622,odontóloga,pequeña,salud
medellin,"comercio al por menor de alimentos (víveres en general), bebidas y tabaco, en establecimientos especializados.",g.47.472.,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,actividades inmobiliarias,l.,administradora,pequeña,industria manufacturera
medellin,publicidad y estudios de mercado.,m.73.,administradora,pequeña,comunicaciones
medellin,"comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción.",g.46.466.4663,administradora,pequeña,construccion
medellin,"actividades de la práctica médica, sin internación.",q.86.862.8621,gerente,pequeña,salud
medellin,"comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados.",g.47.477.4773,administrador,pequeña,salud
medellin,elaboración de productos de panadería.,c.10.108.1081,propietaria,pequeña,panaderia
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,actividades especializadas de diseño.,m.74.741.,gerente,pequeña,industria manufacturera
medellin,"comercio al por mayor de productos textiles, productos confeccionados para uso doméstico.",g.46.464.4641,director financiero,pequeña,industria manufacturera
medellin,"comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados.",g.47.472.4723,administradora,pequeña,"agricultura, caza, ganaderia, pesca y silvicultura"
medellin,actividades de consultaría de gestión.,m.70.702.,directora administrativa,pequeña,consultori
medellin,otras instalaciones especializadas.,f.43.432.4329,asistente administrativa,pequeña,industria manufacturera
medellin,comercio al por mayor de prendas de vestir.,g.46.464.4642,asesor de recursos humanos,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador.",g.46.464.4645,asistente administrativa,pequeña,"comercio, hoteles y restaurantes"
medellin,mantenimiento y reparación especializado de maquinaria y equipo.,c.33.331.3312,representante legal,pequeña,industria manufacturera
medellin,"fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario).",c.32.325.,jefe de recursos humanos,pequeña,intermediación financiera
medellin,organización de convenciones y eventos comerciales.,n.82.823.,gerente,pequeña,"servicios comunales, sociales y personales"
medellin,comercio al por mayor de otros productos n.c.p.,g.46.466.4669,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,publicidad.,m.73.731.,directora,pequeña,comunicaciones
medellin,actividades inmobiliarias realizadas con bienes propios o arrendados.,l.68.681.,secretaria,pequeña,actividades inmobiliarias
la estrella,fabricación de plásticos en formas primarias.,c.20.201.2013,coordinadora de desarrollo humano,pequeña,industria manufacturera
medellin,"otras actividades profesionales, científicas y técnicas.",m.74.,gerente,mediana,electricidad/gas-suministro
medellin,"comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador.",g.46.464.4645,gerente,mediana,"comercio, hoteles y restaurantes"
medellin,actividades de impresión y actividades de servicios relacionados con la impresión.,c.18.181.,gestión humana,mediana,industria manufacturera
medellin,actividades especializadas de diseño.,m.74.741.,gestión humana,mediana,industria manufacturera
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,gestión humana,mediana,"comercio, hoteles y restaurantes"
medellin,actividades de consultoría informática y actividades de administración de instalaciones informáticas.,j.62.620.6202,recursos humanos,mediana,consultori
medellin,otras actividades de atención de la salud humana.,q.86.869.8699,propietario,pequeña,odontologi
medellin,elaboración de productos de panadería.,c.10.108.1081,jefe panadera,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.",g.47.472.4729,propietaria,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de alimentos (víveres en general), bebidas y tabaco, en establecimientos especializados.",g.47.472.,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados.",g.47.476.4761,propietaria,pequeña,"comercio, hoteles y restaurantes"
medellin,"comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados.",g.47.475.4752,administrador,pequeña,electricidad/gas-suministro
medellin,alojamiento y servicios de comida.,i.,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,alojamiento en hoteles.,i.55.551.5511,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,expendio de comidas preparadas en cafeterías.,i.56.561.5613,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de productos agrícolas para el consumo en establecimientos especializados.,g.47.472.4721,administradora,pequeña,"comercio, hoteles y restaurantes"
medellin,alojamiento en centros vacacionales.,i.55.551.5513,administradora,pequeña,"comercio, hoteles y restaurantes"
envigado,comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.,g.47.477.4772,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,confección de prendas de vestir.,c.14.,gerente,pequeña,industria manufacturera
medellin,confección de prendas de vestir.,c.14.,gerente,pequeña,industria manufacturera
medellin,"fabricación de calzado de cuero y piel, con cualquier tipo de suela",c.15.152.1521,diseñadora,pequeña,industria manufacturera
medellin,confección de prendas de vestir.,c.14.,gerente,pequeña,industria manufacturera
medellin,confección de prendas de vestir.,c.14.,directora creativa,mediana,industria manufacturera
medellin,confección de prendas de vestir.,c.14.,directora,pequeña,industria manufacturera
medellin,fabricación de productos textiles.,c.13.,gerente,pequeña,industria manufacturera
medellin,confección de prendas de vestir.,c.14.,gerente,pequeña,industria manufacturera
medellin,confección de prendas de vestir.,c.14.,directora,pequeña,industria manufacturera
medellin,fabricación de otros productos minerales no metálicos.,c.23.,gerente,pequeña,industria manufacturera
medellin,comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.,g.47.477.4772,gerente,pequeña,"comercio, hoteles y restaurantes"
medellin,fabricación de otros productos minerales no metálicos.,c.23.,director,pequeña,industria manufacturera
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,diseñadora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por mayor de prendas de vestir.,g.46.464.4642,director,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,director creativo,pequeña,"comercio, hoteles y restaurantes"
medellin,otras industrias manufactureras.,c.32.,gerente,pequeña,industria manufacturera
medellin,comercio al por mayor de prendas de vestir.,g.46.464.4642,diseñadora,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.,g.47.477.4772,propietaria,pequeña,"comercio, hoteles y restaurantes"
envigado,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,propietario,pequeña,"comercio, hoteles y restaurantes"
medellin,confección de prendas de vestir.,c.14.,propietaria,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,propietario,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,administradora,pequeña,"comercio, hoteles y restaurantes"
